macaco,1
wp time,0
 seu macaco,1
 boa,0
 seu preto,1
 joga muito,0
 yasuo lixo toxico podre,1
 nice,0
 comi sua mãe,1
 fez o basico,0
     não foi o que sua mae disse ontem,1
 bom jogo,0
 primeiro macaco que vejo jogando lol,1
boa,0
 se mata,1
jogou muito,0
     enfia um poste no cu,1
 caraca,0
 vai se foder seu anão de merda,1
 o que foi isso?,0
 porque voce não atira no proprio cu,1
    esse cara é muito bom,0
     sua mãe devia te abortar,1
 gostoso,0
 quer que eu mande link da corda no mercado livre?,1
 jogou muito,0
    nunca vi uma doença tão grande jogando lol,1
 parabens,0
 um dia deus falou que ia acabar com o mundo ai voce nasceu,1
 que cara bom,0
    sua mãe tem orgulho da merda que ela cagou no mundo,1
 deita e rola,0
 preto,1
 kkkkkk,0
 macaco,1
 kkkk,0
 carvão,1
 kkk,0
 escuro,1
     como vc esta?,0
     chris só que negro,1
 espera,0
 resto de palha queimada,1
 to chegando,0
 nazista,1
 vou gankar,0
 hittler tava certo,1
 vamo top,0
 judeu de merda,1
 to bem,0
     que deus te elimine,1
 vou fzr azul,0
 vai se foder,1
 roubei,0
 imbecil,1
 vamo dragao,0
 panaca,1
 vamo dg,0
 lugar de mulher é na cozinha,1
"    não liga para essas pessoas que só querem o mal, apenas mute e siga se divertindo",0
 vai dar o cu,1
 você é uma ótima pessoa é tá jogando bem,0
     mulher só serve pra dar,1
    não precisa ficar mal com tantas mensagens ofensivas,0
 seu pai deu o cu pra um anão,1
 parabéns por joga bem diferente de tudo que estão falando,0
 pau no seu cu,1
    booaa,0
 porque vc n se mata?,1
 que foi issooo,0
 doença em pessoa,1
linda play,0
 anão do pé torto,1
 me salvou,0
     esquizofrenico sem amigos,1
 obrigado,0
 doença em pessoa,1
 parabens por ser tao bom,0
 compra uma corda e vai jogar no vasco,1
" boaaaa mlkk , joga mt, quer ser meu padrasto?",0
     sexo com morto é mais gostoso,1
    você joga bem,0
 comi sua mãe,1
 boa,0
" jesus se matou depois de conhecer sua mãe, panaca",1
 é isso ai,0
     doença,1
 jogou o fino,0
 corona virus em pessoa,1
 nice,0
 peste negra em cor,1
 boa,0
 falta de tapa na cara,1
" a culpa foi minha, sorry",0
 sua mãe sentou torto,1
 boa,0
     nasceu esse groot,1
 jogou mt c eh loko,0
 cadeirante ciclista,1
 humilde,0
 sua mãe transou com um javali e tu nasceu,1
boa mano,0
     aborto não existia no seu tempo pois vc ta vivo ainda,1
     lindo dms,0
 se mata imbecil,1
 jogador caro,0
    vai cherar um litro de coca,1
 gostoso,0
 onde ja se viu preto com direito de fala?,1
 jogou bem,0
    se acha vitorioso só por que sobreviveu a um aborto,1
 gg wp,0
 vai se fuder,1
" parem de discutir e comecem a jogar, irei mutar todos para não me estressar",0
 nao merece a vida,1
    boa jogada,0
     se mata,1
 salvou o time,0
 horrivel,1
 carregou,0
 fudido,1
 tudo bem errar,0
 arrombado,1
jogou bem,0
 vai tomar no cu,1
ggwp,0
 aborto,1
vou copiar sua build,0
" seu viado, jogador de lulu",1
jogou bem,0
     tinha que ser preto e pobre pra tá com computador travando o inicio da partida,1
 boa,0
    você é um retardado por está jogando dessa maneira,1
 lindao,0
 fudido do caralho,1
queria mais 3 de tu no meu time,0
    jogador lixo do caralho,1
    vamos conseguir ganhar,0
 verme,1
 bom jogo,0
  tinha que ser pobre,1
 tu é muito bom,0
 preto carvao,1
 obrigado por existir,0
 vagabundo,1
 deus na terra,0
 nao tem oq fazer da vida?,1
" po, valeu ai",0
    que jogo lixo,1
 vamo duo ?,0
 vc devia se matar,1
     que cara bom,0
 macaco,1
 é smurf certeza,0
 viado,1
 parabens,0
 nordestino,1
 perfeito,0
 baiano,1
 boa krl,0
    fudido,1
 nice,0
 preto safado ,1
 bouaa,0
 pau no cu,1
 jogou o fino,0
 se mata,1
 jogou,0
 verme,1
 mec,0
 você é um lixo,1
 god,0
 veado,1
 diferenciado,0
    cara você é horrível,1
     bonecao,0
 lixo,1
 game nosso,0
 inútil,1
 tudo nosso,0
 um bosta,1
 gameplay avançada,0
  mongoloide,1
 deus,0
 vc é um merda,1
 é o grongos,0
     filho da puta,1
 fala dele,0
 se mata,1
 arrebentou,0
 macaco,1
 ganhou solo,0
 horroroso,1
 carregou,0
 imundo,1
    é main,0
 tu é mais feio que pedófilo anão,1
 quem te ensinou?,0
    tua mãe,1
 relaxa,0
 vai lixo,1
 seu lindo,0
 teu cu,1
 liga nao,0
arrombado de merda,1
 respira time,0
 lixo humano,1
 confia,0
 pq tu nao se mata,1
 calmou,0
 parece um macaco,1
 mito,0
    chimpanzé,1
 destruiu,0
 primata,1
 genio,0
 seu gorila,1
 humilde,0
 seu africano,1
 jogou muito,0
"deveria desinstalar, seu merda",1
    high elo,0
 burro,1
 sou foda,0
    imbecil,1
 muito forte,0
 otario,1
 cara voce é muito bom,0
 tinha que ser preto,1
 well played,0
 fraco,1
 show,0
 desempregado,1
 insano,0
 horriveis,1
 show de bola,0
 podres,1
 embrasado,0
macaco,1
 me carrega,0
 parasita,1
 desculpa,0
    vagabunda,1
    malz ae,0
 baiano,1
 como tu fez isso?,0
 vai lavar prato,1
